abv,avail,avg_score,beer_name_og,brewery_og,category_og,city_og,ibu,num_of_ratings,state_og,style,style_og
5.00,Year-round,4.17,Scottish Ale,Carlyle Brewing,British Ale,Rockford,-1,7,Illinois,Scottish Ale,Scotch Ale
5.90,Year-round,3.48,Bee Sting Honey Ale,Great Divide Brewing,North American Ale,Denver,-1,41,Colorado,American Pale Ale (APA),American-Style Pale Ale
5.00,Year-round,3.39,Native Ale,New Glarus Brewing Company,North American Ale,New Glarus,-1,56,Wisconsin,English Brown Ale,American-Style Amber/Red Ale
-1,Rotating,3.33,New Peculier,Great Dane Pub and Brewing #2,British Ale,Fitchburg,-1,8,Wisconsin,American Brown Ale,Old Ale
5.50,Year-round,3.72,Old Glory American Pale Ale,Great Dane Pub and Brewing #2,North American Ale,Fitchburg,-1,79,Wisconsin,American Pale Ale (APA),American-Style Pale Ale
-1,Year-round,3.16,Canadian Light,Courthouse Pub,North American Lager,Manitowoc,-1,1,Wisconsin,American Light Lager,American-Style Lager
-1,Rotating,3.04,Honey Wheat,Great Waters Brewing Company,North American Lager,Saint Paul,-1,3,Minnesota,American Pale Wheat Ale,American-Style Lager
-1,Year-round,3.49,Stillwater Stout,Rock Bottom Restaurant & Brewery - Minneapolis,North American Ale,Minneapolis,-1,22,Minnesota,American Stout,American-Style Stout
-1,Year-round,3.97,Itasca Extra Pale Ale,Rock Bottom Restaurant & Brewery - Minneapolis,British Ale,Minneapolis,-1,28,Minnesota,American Pale Ale (APA),English-Style Pale Mild Ale
-1,Year-round,3.56,Light,Wild River Brewing and Pizza - Cave Junction,,Cave Junction,-1,9,Oregon,German Kölsch,
7.80,Winter,3.42,Hoppy Claus Holiday Ale,Hoppy Brewing Company,Other Style,Sacramento,-1,52,California,Winter Warmer,Winter Warmer
-1,Year-round,0,Playland Pale Ale,Beach Chalet Brewery,North American Ale,San Francisco,-1,0,California,American Pale Ale (APA),American-Style Pale Ale
-1,Rotating,3.81,Dark Wheat,Sierra Nevada Brewing Co.,North American Lager,Chico,-1,2,California,German Dunkelweizen,American-Style Lager
5.40,Year-round,3.14,Mountain Wheat,Breckenridge Brewery,North American Lager,Denver,-1,6,Colorado,Belgian Witbier,American-Style Lager
5.10,Year-round,3.7,Moose Drool Brown Ale,Big Sky Brewing,Irish Ale,Missoula,-1,2809,Montana,American Brown Ale,Porter
4.20,Year-round,1.81,Milwaukee's Best Light,Miller Brewing,North American Lager,Milwaukee,-1,706,Wisconsin,American Light Lager,American-Style Light Lager
